Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
1836,-0.62861954,-0.098868524,2.4459548,-1.845587466,-0.9779202,0.131040179,-0.324024078,0.194397025,-0.803010917,-0.177066565,-1.61960634,-0.997903375,0.174895813,-0.523653195,1.04457812,-0.21086888,-0.847511657,2.053877543,-1.327102752,-0.355556496,-0.154277316,-0.098721179,-0.249667085,-0.429387948,0.078978584,1.08678279,0.000107383,0.061330045,42.94,0
1896,-0.920750408,-0.126650701,1.869146578,-0.857553747,0.206538304,-1.126191063,0.796685319,-0.293485875,-0.090788915,-0.671496082,-0.410131054,-0.132382835,0.067743305,-0.198436291,0.57595194,0.528581316,-0.754397932,-0.305347322,-0.628272889,0.31725362,0.008936046,-0.184751935,0.186775918,0.42117971,-0.330615347,0.662704258,-0.20047118,-0.096938288,96.51,0
2103,-0.423938855,0.712749544,1.222087057,-2.0125466,0.248604806,-1.208304324,1.140470919,-0.356753851,0.724122098,-1.2105017,0.266018359,0.710154656,0.257071735,0.018065702,1.051217464,-0.994508921,-0.204800457,-0.580641239,-0.586440126,0.023050092,0.115858611,0.774318526,-0.232774069,0.420982232,-0.024593176,-0.831823703,0.259379339,-0.012600635,1,0
2110,-0.643583962,0.851529886,1.107145581,-2.064217946,0.150958949,-1.236502582,1.09411505,-0.314231002,0.997076672,-0.887090583,0.19427364,0.425942527,-0.294867341,0.057713634,1.125982384,-0.990178634,-0.181955176,-0.528870689,-0.613374004,0.118300387,0.080514964,0.707289984,-0.214289689,0.401697856,0.008099272,-0.825498197,0.36062685,0.046275786,1,0
2112,1.255085636,0.272790099,0.282672668,0.704559546,-0.471916472,-1.099930435,0.011119757,-0.140339811,0.201878058,-0.249896781,-0.256753332,-0.36003008,-0.892989607,-0.064773494,1.216721747,0.530984758,0.058741938,-0.161935271,-0.190985102,-0.152055919,-0.300340264,-0.921623863,0.142634658,0.314745132,0.178141378,0.098131743,-0.030423868,0.028455479,1.98,0
2205,-0.618274042,1.034279231,1.392299195,0.888375263,0.152551407,-0.702024812,0.754474596,-0.267269804,-0.581575989,-0.036500525,-0.319955302,0.408064911,1.038379853,0.015444027,1.041901378,-0.251875758,-0.316288236,-0.035687236,0.451527345,-0.054281921,0.088942973,0.346503244,0.022467636,0.406446893,-0.361073986,-0.466129885,-0.035981956,0.150666411,18.99,0
2829,-0.955701966,1.810282349,1.14966082,2.903562865,-0.446983873,-0.322645526,1.242338633,0.072393527,-2.226788965,0.409490246,-0.257537802,-0.069459429,0.552837205,0.717666553,0.903812297,-0.383620845,0.421675162,-0.246590307,0.82859217,0.056619954,0.126045842,0.237543564,-0.159115068,0.743517104,0.438712076,0.323987616,-0.157428525,-0.018987212,124.14,0
2920,-0.937144275,1.058154605,0.88281478,-2.139086829,0.071852114,-1.512325252,1.132539208,-0.531459535,1.251376762,-0.508761249,-0.323963127,0.141058837,-0.380045489,-0.063134001,0.93814349,-0.633747142,-0.589168836,0.025300443,-0.122423472,0.113967293,0.085759026,0.517704801,-0.243436738,0.379020269,0.087773621,-0.873372866,-0.075262374,0.051481235,1,0
3261,-2.823313444,1.347442287,-0.024642831,-0.361939358,0.158339885,-0.146902665,0.218463699,0.530569519,0.892515785,1.366004281,-1.194430355,-0.644515323,-0.665424639,0.063204266,1.442425556,0.311456942,-0.39834406,-0.447441267,0.012151701,-0.062643128,-0.668460605,-0.719373914,0.486032897,-0.982478353,0.243145923,0.174897052,0.400920302,-0.314375885,26.99,0
3483,-1.546004149,1.538193319,0.696953003,0.460540558,0.575192815,1.316513596,0.462809318,0.257569027,0.242737246,0.878747052,0.371696366,-0.241270674,-0.957571042,0.287116858,2.280536901,-1.654165232,1.004636642,-1.802811263,-1.152705561,-0.086818836,0.293997063,0.888694729,0.030658568,-0.979060418,-0.567457141,-0.269909445,-0.351072621,0.267608817,27,0
3766,1.433616048,-0.630518847,-0.896372029,-1.629901659,1.474743403,3.268736556,-1.192542848,0.714690357,0.362075557,0.289794921,1.009280704,-3.174026005,1.86619757,1.408749549,0.257755836,1.531403009,0.445571244,-0.869254087,0.77191793,0.188042457,-0.2882306,-0.889443431,0.095965563,0.919164083,0.363162254,-0.5066,-0.0167743,0.01253228,25.26,0
3803,1.223471726,0.318627919,0.302019379,0.717709154,-0.161746536,-0.527867304,-0.163827798,-0.068927074,1.210511804,-0.462339233,2.134263648,-2.152667742,0.976949313,1.497523311,-0.22372067,0.784678606,0.40453882,0.686186883,0.016939888,-0.140775963,-0.413322112,-1.040269402,0.090547141,-0.126748453,0.1751759,0.06107867,-0.061260002,0.0104188,9.99,0
3956,1.342729903,-1.346511235,0.734996531,-1.235367823,-1.735582675,-0.247039797,-1.450792187,0.003948915,-0.355659459,1.231350455,1.607912926,-3.53666941,0.889903104,1.392800181,-0.41900185,0.186377005,0.811557689,1.36182676,-0.243542068,-0.279359116,-0.153082277,-0.040919109,-0.08938372,-0.091227807,0.26079578,-0.142311488,-0.001328614,0.017041564,84,0
4013,0.234575146,-1.314501894,-0.291604563,2.008646067,-0.757724376,-0.661953948,0.797272848,-0.353254955,1.539087662,-0.567261515,0.015001799,-3.09320957,-0.121862141,2.145311893,-0.49238275,-0.25432998,0.73222056,0.155195207,-0.485665397,0.741324454,0.110172368,-0.543121438,-0.574555607,0.327102935,0.567153242,-0.349319208,-0.127399763,0.094503502,525,0
4462,-2.303349568,1.75924746,-0.359744743,2.330243051,-0.821628328,-0.075787571,0.562319782,-0.399146578,-0.238253368,-1.525411627,2.032912158,-6.560124295,0.022937323,-1.470101536,-0.698826069,-2.282193829,-4.781830856,-2.615664945,-1.334441067,-0.430021867,-0.294166318,-0.932391057,0.172726296,-0.087329538,-0.156114265,-0.542627889,0.039565989,-0.153028797,239.93,1
5372,-0.868767115,1.301043815,1.293434403,0.067153493,-0.062523907,0.140671415,-0.771663225,-2.523458236,0.515227118,-1.15336841,1.579146433,-2.569995757,-0.13188416,2.50330022,-0.482535563,0.710803268,0.195979159,0.768291114,0.107453589,0.456693387,-1.575998442,-0.432288649,0.200169411,-0.14313186,-0.380599011,0.008105475,-0.049523653,0.068504844,1.98,0
5379,-0.806863393,0.070763364,2.219561925,-2.71641255,-0.480514938,0.100590372,-0.08849053,0.264336062,2.812682632,-2.362021067,-0.326309781,-3.438006403,-0.017905955,1.46750196,1.299940076,0.38414053,0.034758504,0.977834599,-0.733796466,-0.162283208,0.11434765,0.496038093,-0.351951845,-0.831004495,0.364415348,0.032206847,0.02296221,0.049515268,47.2,0
5704,-0.549098355,0.885159686,2.356018997,1.364032535,-0.487862689,-0.276893816,0.105237812,0.035152788,1.460274999,-0.621833187,0.327445867,-2.231296796,1.711823245,1.074138274,-0.584716292,-0.612761097,0.909710832,0.409742107,0.229643609,0.146598318,0.037695582,0.681904584,-0.153333923,0.697060646,-0.091870526,-0.229621959,0.406461304,0.212311955,20,0
6347,1.122791956,-0.064137837,1.035258898,1.775286293,-0.649521897,0.28281765,-0.613878396,0.206216301,2.458567162,-0.566546744,-0.245859336,-2.903465203,-0.573336697,1.440164829,-1.221967204,-0.755408798,1.285681657,-0.37042687,-0.444857278,-0.373535404,-0.259433923,-0.220764543,-0.033707513,-0.005860938,0.523825147,-0.289933591,0.03353652,0.011752362,6.99,0
6867,1.063401839,0.349759493,1.78398638,2.938377966,-0.672337953,0.488044245,-0.704756365,0.188422191,1.332388164,0.071284283,0.547094348,-2.017955334,1.846498704,1.019205463,-0.839253202,0.192688925,0.699859963,-0.512254968,-1.528035642,-0.233756799,-0.185257279,-0.086217182,0.124637297,0.347406852,0.166732859,-0.073518882,0.034717632,0.029740303,0,0
6986,-4.397974442,1.358367028,-2.592844218,2.679786967,-1.128130942,-1.706536388,-3.496197293,-0.248777743,-0.247767899,-4.801637406,4.895844223,-10.91281932,0.184371686,-6.771096725,-0.007326183,-7.358083221,-12.59841854,-5.131548628,0.308333946,-0.171607879,0.573574068,0.176967718,-0.436206884,-0.053501865,0.252405262,-0.657487755,-0.827135715,0.84957338,59,1
7309,-0.851342873,0.062000283,1.406916907,-1.669374586,0.462638925,-0.150803984,0.403887198,0.200459781,1.9686723,-1.666708043,-0.955935865,-3.896337524,-1.126368311,1.585003546,-1.451606988,0.44794051,0.352751191,-0.536825631,-1.252902209,-0.301203181,-0.4002621,-1.096107864,0.023423021,-0.842077044,-0.301143775,0.932506074,-0.088128358,0.076487244,45,0
7341,1.139539824,0.363751895,0.592057428,1.410006217,-0.091581049,-0.30012861,-0.016229221,-0.159285917,1.212401668,-0.386699291,0.857487151,-1.930523606,2.256753421,1.654035511,0.429866447,-0.14344263,0.486223468,-0.317957416,-1.047260152,-0.125500605,-0.066735659,0.102250999,-0.062296588,0.038540984,0.524395731,-0.342979561,0.010797148,0.020340522,29.9,0
7433,0.522484603,-1.131764461,-1.452174972,0.781319947,1.88118748,3.792453161,-0.020898997,0.668668676,1.412062247,-0.568193991,0.41073774,-2.254933678,1.485646865,1.713311791,-0.840177452,-0.079763201,0.23289814,0.275949141,0.037362898,0.702110752,-0.100614922,-0.87028256,-0.454227256,0.968608509,0.728700386,-0.406295191,-0.074149212,0.07309032,393.46,0
7511,1.230816564,-0.405969503,0.525669316,0.217611879,-0.613896223,0.118161989,-0.550099777,-0.020764946,0.294827325,0.365288444,2.029765528,-1.356581662,2.190175649,1.413055783,-1.672354466,-2.036753367,1.063852827,0.91617618,-0.826498818,-0.524124753,-0.573865838,-0.764660136,0.028775201,-0.025455212,0.353981496,0.339686218,-0.019422594,-0.002633048,28,0
7519,1.234235046,3.019740421,-4.304596885,4.73279513,3.624200831,-1.357745663,1.713444988,-0.496358487,-1.28285782,-2.447469255,2.101343865,-4.609628391,1.464377625,-6.079337193,-0.339237373,2.581850954,6.739384385,3.042493178,-2.721853122,0.009060836,-0.379068307,-0.704181032,-0.656804756,-1.632652957,1.488901448,0.566797273,-0.010016223,0.146792735,1,1
7526,0.008430365,4.137836835,-6.240696572,6.675732163,0.768307025,-3.353059548,-1.631734673,0.154612448,-2.795892464,-6.18789063,5.664394709,-9.854484823,-0.306166658,-10.69119621,-0.638498193,-2.041973791,-1.129055877,0.116452521,-1.934665739,0.488378221,0.36451421,-0.608057134,-0.539527942,0.128939983,1.48848121,0.507962678,0.735821636,0.513573741,1,1
7535,0.026779226,4.132463897,-6.560599968,6.348556673,1.329665669,-2.513478848,-1.6891022,0.303252801,-3.139409057,-6.045467798,6.754625448,-8.948178579,0.702724998,-10.7338541,-1.379519857,-1.638960115,-1.746350136,0.776744098,-1.327356635,0.587743219,0.370508651,-0.576752473,-0.669605372,-0.75990753,1.60505555,0.540675396,0.737040382,0.496699108,1,1
7543,0.329594333,3.712889295,-5.775935108,6.078265506,1.667359013,-2.420168414,-0.812891249,0.133080118,-2.214311312,-5.134454471,4.560720106,-8.873748362,-0.7974836,-9.17716637,-0.257024775,-0.87168849,1.313013629,0.773913873,-2.370599451,0.269772776,0.156617169,-0.652450441,-0.551572219,-0.716521635,1.415716615,0.55526474,0.530507389,0.404474055,1,1
7551,0.316459,3.809075947,-5.615159011,6.047445102,1.554025957,-2.651353112,-0.746579273,0.055586311,-2.678678542,-4.959492912,6.439053352,-7.520117393,0.386351667,-9.252307247,-1.365188415,-0.502362191,0.784426598,1.494304607,-1.808012159,0.388307428,0.208828369,-0.511746619,-0.583813221,-0.219845029,1.474752584,0.491191926,0.518868285,0.402528068,1,1
7610,0.72564574,2.300894438,-5.329976183,4.007682805,-1.73041059,-1.732192568,-3.968592618,1.063728153,-0.486096552,-4.624984954,5.588723915,-7.148242636,1.680450741,-6.210257747,0.495282118,-3.599540209,-4.830324242,-0.64909012,2.250123249,0.504646226,0.589669127,0.109541319,0.601045277,-0.364700278,-1.843077692,0.351909298,0.594549978,0.099372236,1,1
7672,0.7027099,2.426432806,-5.234513296,4.416661243,-2.170806216,-2.667553561,-3.878088455,0.911337122,-0.166199039,-5.009248502,4.675729419,-8.167188052,0.638559282,-6.763334391,1.296860256,-3.81175841,-3.754128066,-1.049177402,1.554197263,0.422743129,0.551179689,-0.009802357,0.72169823,0.473245751,-1.959303771,0.31947554,0.600484916,0.129305225,1,1
7740,1.023873869,2.001485266,-4.769751832,3.819194585,-1.271754227,-1.734662427,-3.059245032,0.889804792,0.415382113,-3.955812344,3.572054816,-7.186451591,0.147242341,-5.249304549,1.678333674,-2.641473109,-1.31205856,-0.391716051,1.118263552,0.204137684,0.343282649,-0.054195664,0.709653952,-0.372215867,-2.032068366,0.366777602,0.395170669,0.020205539,1,1
7891,-1.585505367,3.261584548,-4.137421983,2.357096252,-1.405043314,-1.879437193,-3.513686871,1.515606746,-1.207166361,-6.234561332,5.450746067,-7.333714067,1.361193324,-6.608068252,-0.481069425,-2.60247787,-4.835112052,-0.553026089,0.351948943,0.315957259,0.501543149,-0.546868812,-0.076583636,-0.425550367,0.123644186,0.321984539,0.264028161,0.13281672,1,1
8086,-1.572147706,-0.052286341,2.596834042,-0.302082383,-0.011520668,1.021718796,0.475169125,0.500748195,1.274115197,-1.618569081,1.963181568,-1.953663375,0.757639299,1.374973986,-1.3894026,0.413708345,0.074026485,0.200536345,-2.606283064,0.060333071,0.242964156,0.588945055,0.096316894,-0.393536873,0.514819158,-0.501016879,-0.016405777,0.060331159,178.86,0
8090,-1.783228837,3.402793713,-3.822742266,2.625368153,-1.976415411,-2.731689012,-3.430559149,1.413203514,-0.776941495,-6.199881763,4.366713486,-8.243262434,0.345761165,-6.590550297,0.265576096,-3.028452388,-4.214486275,-1.213607848,-0.265421595,0.364089115,0.454031932,-0.577525824,0.045966538,0.461700018,0.044146161,0.305704434,0.530980986,0.243745598,1,1
8169,0.857321004,4.093911827,-7.423893589,7.380244518,0.973366023,-2.730761517,-1.496497056,0.543015173,-2.351190159,-3.944238498,6.355077737,-7.309747984,0.748450551,-9.057992529,-0.648944909,-1.073116527,1.524500915,1.831363533,-0.089724411,0.48330265,0.375026285,0.145399853,0.240603265,-0.234649223,-1.004880947,0.435831916,0.618323805,0.148468944,1,1
8408,-1.813280485,4.917850711,-5.926129694,5.701500431,1.204392572,-3.035137548,-1.713402063,0.561257391,-3.796354252,-7.454840651,7.388055123,-10.47522865,-0.379314527,-11.73672912,-2.086988952,-2.442353983,-3.535523512,0.130360307,-2.071450488,0.576656033,0.615641835,-0.406427275,-0.737018076,-0.279641772,1.106766374,0.323885478,0.894766672,0.5695186,1,1
8415,-0.25147096,4.313523326,-6.891437717,6.796796681,0.616296505,-2.966326542,-2.436652527,0.489327899,-3.371638572,-6.810813099,7.620089058,-10.28528252,-0.342444334,-11.54349792,-1.334987903,-2.689284204,-3.204383403,0.086521896,-1.314495097,0.632709964,0.536892074,-0.546126024,-0.605239548,-0.26374346,1.539915831,0.523573697,0.891024688,0.572740667,1,1
8451,0.31459659,2.660670277,-5.92003738,4.522499605,-2.315027286,-2.278351654,-4.684053936,1.202270265,-0.694695511,-5.52627806,6.662436831,-8.525464925,0.742745447,-7.67866801,0.593070459,-4.478136595,-5.844266479,-1.102730795,2.177385687,0.562705643,0.743314023,0.064038356,0.677841675,0.083007823,-1.911034464,0.322188398,0.620866539,0.185030355,1,1
8528,0.447395553,2.481953866,-5.660813931,4.455922812,-2.443779754,-2.185040262,-4.716142945,1.249803252,-0.718326067,-5.390330256,6.454187525,-8.485346574,0.635281409,-7.019901559,0.539814071,-4.649864299,-6.288357509,-1.339312322,2.262984788,0.549612971,0.75605255,0.140167769,0.665411101,0.131463792,-1.908217412,0.334807599,0.748534285,0.175413794,1,1
8614,-2.169928976,3.639653999,-4.508497786,2.730668149,-2.122692871,-2.341016828,-4.235253083,1.703537658,-1.305279133,-6.716720023,6.353612319,-8.601648263,0.449930038,-7.506169374,-0.438081782,-3.694515998,-6.304753386,-1.267587128,0.35798703,0.500779054,0.645103276,-0.503529449,-0.000522822,0.071695779,0.092007433,0.308497932,0.552590915,0.298954479,1,1
8757,-1.863755553,3.442643977,-4.468259731,2.805336259,-2.118412477,-2.332284887,-4.261237197,1.701681844,-1.439395875,-6.999906634,6.316209677,-8.670818005,0.316023992,-7.417712065,-0.436537471,-3.65280196,-6.293145319,-1.243248291,0.364810482,0.360924004,0.667926572,-0.516242362,-0.012217812,0.070613703,0.058504467,0.30488284,0.418012467,0.208858278,1,1
8808,-4.617217204,1.695693653,-3.114372201,4.328198553,-1.873256991,-0.989908136,-4.577264627,0.472216158,0.472016953,-5.576022636,4.802322761,-10.83316447,0.104303876,-9.405423062,-0.807477869,-7.552342204,-9.80256179,-4.120628835,1.74050729,-0.039045934,0.481829697,0.146023056,0.117038528,-0.217564599,-0.138776044,-0.424452881,-1.002041426,0.890780288,1.1,1
8878,-2.661802175,5.856393215,-7.653616213,6.379741881,-0.060712119,-3.131549732,-3.103569746,1.778491569,-3.831153716,-7.191604246,7.102988588,-9.928699943,-0.067498378,-10.92418687,-1.697913977,-2.379420985,-2.775113897,0.273798971,-1.382187564,0.39909686,0.73477495,-0.435901182,-0.384765904,-0.286015664,1.007933824,0.413195532,0.280284157,0.303936551,1,1
8886,-2.535852117,5.793644147,-7.618462836,6.395829746,-0.065210105,-3.136371964,-3.104557363,1.823232638,-3.87865758,-7.29780335,7.071669137,-10.00104637,-0.207934541,-10.86069805,-1.690825041,-2.360856724,-2.760097015,0.298103416,-1.385557802,0.408704184,0.716719907,-0.448059938,-0.402406879,-0.288835223,1.01175224,0.425964621,0.413139556,0.308204657,1,1
9032,-0.411719727,1.143882256,1.21622332,1.666881853,0.101986239,-0.555233331,0.747541993,-0.608474478,1.117643583,0.497125981,0.684278297,-2.790383419,1.696615255,1.408766663,0.935426917,-0.827022155,0.721867857,0.414688771,1.161119241,0.01728786,-0.097335226,0.414925849,-0.108226661,0.353143344,-0.458139265,-0.341572823,-0.84908507,-0.679456071,25,0
9064,-3.499107537,0.258555161,-4.489558073,4.853894351,-6.974521545,3.628382091,5.431270921,-1.946733711,-0.775680093,-1.987773188,4.690395666,-6.998042432,1.454011986,-3.738023334,0.317742063,-2.013542681,-5.136135103,-1.183822117,1.663394014,-3.042625757,-1.052368256,0.204816874,-2.11900744,0.170278608,-0.393844118,0.296367194,1.985913218,-0.900451638,1809.68,1
10135,1.155283004,0.417286589,0.412208095,1.349081416,-0.129767902,-0.873307743,0.276404513,-0.399133642,1.068081272,-0.415576442,0.773879541,-1.635611228,2.925614461,1.580084659,0.047705024,-0.034323608,0.234857938,-0.025860815,-0.598239349,-0.007230502,-0.079084007,0.020003454,-0.14490339,0.374440191,0.690047691,-0.376462469,-0.013719588,0.025087887,52.5,0
10332,-0.969691628,-0.267576373,1.575904393,1.800476973,0.628120326,-0.057938886,0.765639749,-0.214391492,1.064062543,-0.523026519,0.338599759,-2.586426247,1.223475807,1.38552476,-0.435868442,-1.293766041,1.274468143,-0.302874793,0.518680458,0.552322403,-0.0298259,0.06692546,0.359438792,0.010321366,-0.162505305,-0.321286961,-0.083209933,-0.054957191,174,0
10507,-0.987192827,0.380026277,1.674193839,-0.828159139,-0.155313656,-0.124722205,0.439994405,-0.012219835,1.555376745,-1.055468499,1.299611503,-2.327403383,0.375886691,1.340251428,-2.131499539,0.147850672,0.356570164,0.345014001,0.137230197,-0.287793888,-0.215251698,-0.332158111,-0.367587157,0.002906337,0.460631606,0.977167655,-0.37861701,-0.056824884,71.8,0
10540,1.320259616,0.479284002,0.110144194,0.697216758,0.146415834,-0.544056884,0.005614036,-0.257043388,1.309130973,-0.664287699,0.206286156,-2.315650547,2.448774839,1.010005415,0.368947925,0.672695237,0.397688499,0.193318853,-0.088487586,-0.071264154,-0.4886509,-1.133276396,0.032351785,-0.557524719,0.319636559,0.107079758,-0.047787787,0.016557442,0.89,0
10631,1.23167042,0.112812918,0.735621626,0.08388331,-0.419782626,-0.474267368,-0.282770024,-0.182220417,1.480850052,-0.668247799,1.162226096,-1.513726066,3.037776368,1.33813467,0.625845726,0.024804321,0.573539021,-0.751100324,-0.543989055,-0.044723184,-0.238153234,-0.342945218,0.117430596,0.111283666,0.062815817,0.890464266,-0.073799231,0.003521848,8.66,0
10941,-0.422722565,0.827261355,1.966512233,-0.317714797,-0.383737062,-0.679248083,0.282825429,-0.192184894,1.137712915,-0.877497014,0.568009722,-2.443672631,2.180444028,1.239998244,0.32179236,0.349251447,0.279763027,0.261947141,-0.236729597,-0.029241723,0.028237292,0.302345212,-0.156115102,0.408762309,-0.249469587,0.976786063,-0.163387029,0.041766966,15.95,0
11023,1.304915117,-0.034353752,0.473494896,0.275091744,-0.432748973,-0.429291083,-0.284220478,-0.198349872,2.055606724,-0.738565689,-0.148657306,-2.032507317,1.967860132,1.114684318,-1.037271089,-0.265232001,0.725130392,-0.31878695,0.442893958,-0.102536402,-0.296731148,-0.335004805,-0.110195927,-0.066602588,0.497616304,1.103590503,-0.091772941,-0.011438909,3.3,0
11026,-0.810146098,0.359008812,2.151809046,-0.782661497,0.019979695,-0.658201867,0.064394008,0.081137375,0.990191384,-1.005814454,1.991339315,-2.281833489,0.995745654,1.664812396,-0.655089599,0.833592235,-0.141946893,0.83855189,-0.576472231,-0.038159034,0.087114591,0.28613865,-0.141049843,0.32911826,-0.201708826,0.873228221,-0.040416366,0.084704521,15.95,0
11043,1.227191458,-0.014961555,0.766970785,0.12631497,-0.559228622,-0.306704932,-0.5061705,-0.067962109,1.40865535,-0.368414679,2.148835346,-1.468742471,2.361256093,1.532772993,-0.161863199,0.75140128,-0.110022367,0.684613705,0.005893121,-0.020660939,-0.029542242,0.169657741,-0.075181925,0.04924941,0.241022959,1.031567728,-0.089815261,-0.00629199,15.95,0
11049,1.30204334,-0.261502542,-0.722756382,-0.853728257,1.700463346,3.426329301,-1.013725785,0.793970373,1.596135576,-0.461395044,0.877489359,-2.511817334,1.798557012,1.60512334,0.761804883,0.811091617,-0.208683224,0.593796332,-0.031193312,0.046663265,-0.119160284,-0.231570258,-0.051550153,1.022013165,0.368303191,1.046159028,-0.086747765,-0.000809113,15.95,0
